cutting speed (m/min),depth of cut (mm),feed rate (mm/rot),Active force (N),Normal force (N),Roughness Ra (um)
800,0.1,0.15,3.900,0.860,0.162
800,0.1,0.25,5.220,0.900,0.235
800,0.1,0.45,7.740,1.370,0.644
800,0.1,0.65,9.710,1.894,0.662
800,0.1,0.85,11.490,2.335,0.678
600,0.1,0.15,3.140,0.832,0.187
600,0.1,0.25,4.340,1.017,0.300
600,0.1,0.45,6.860,1.528,0.641
600,0.1,0.65,9.430,2.155,0.673
600,0.1,0.85,11.380,2.640,0.683
400,0.1,0.15,3.290,0.804,0.171
400,0.1,0.25,4.840,1.003,0.221
400,0.1,0.45,9.470,2.083,0.653
400,0.1,0.65,13.160,2.302,0.718
400,0.1,0.85,16.800,2.882,0.704
350,0.1,0.15,3.710,0.877,0.159
350,0.1,0.25,5.530,1.102,0.244
350,0.1,0.45,8.960,1.703,0.660
350,0.1,0.65,12.250,2.182,0.708
350,0.1,0.85,15.540,2.518,0.674
250,0.1,0.15,3.830,0.821,0.171
250,0.1,0.25,5.660,1.079,0.236
250,0.1,0.45,9.200,1.691,0.660
250,0.1,0.65,16.620,2.279,0.732
250,0.1,0.85,18.954,2.832,0.703
800,1,0.15,27.110,-0.395,0.122
800,1,0.25,40.000,-1.730,0.198
800,1,0.45,64.200,-4.440,0.669
800,1,0.65,85.930,-7.750,0.750
800,1,0.85,104.960,-10.385,0.761
600,1,0.15,26.620,0.215,0.123
600,1,0.25,41.550,-1.097,0.208
600,1,0.45,69.170,-3.514,0.677
600,1,0.65,95.330,-6.331,0.794
600,1,0.85,116.230,-8.888,0.766
400,1,0.15,32.560,0.429,0.118
400,1,0.25,50.300,-0.560,0.205
400,1,0.45,85.050,-2.945,0.680
400,1,0.65,116.090,-5.323,0.794
400,1,0.85,145.370,-7.444,0.812
350,1,0.15,31.950,0.265,0.113
350,1,0.25,47.710,-0.925,0.202
350,1,0.45,77.460,-3.201,0.681
350,1,0.65,100.860,-5.960,0.801
350,1,0.85,130.620,-8.417,0.781
250,1,0.15,33.160,0.215,0.112
250,1,0.25,50.870,-0.766,0.208
250,1,0.45,85.040,-2.602,0.690
250,1,0.65,117.250,-4.232,0.815
250,1,0.85,148.821,-6.656,0.814
800,2,0.15,47.560,-2.155,0.677
800,2,0.25,71.830,-5.220,0.512
800,2,0.45,117.070,-11.187,0.781
800,2,0.65,156.910,-18.502,0.844
800,2,0.85,195.580,-25.032,0.936
600,2,0.15,49.300,-1.565,0.336
600,2,0.25,74.840,-4.206,0.330
600,2,0.45,126.110,-10.137,0.768
600,2,0.65,175.230,-16.803,0.876
600,2,0.85,217.820,-23.392,0.823
400,2,0.15,59.760,-1.017,0.145
400,2,0.25,92.180,-3.678,0.258
400,2,0.45,154.390,-9.971,0.769
400,2,0.65,216.000,-16.179,0.870
400,2,0.85,281.040,-23.801,0.881
350,2,0.15,58.380,-1.741,0.152
350,2,0.25,87.560,-4.591,0.253
350,2,0.45,143.690,-10.879,0.791
350,2,0.65,195.920,-17.122,0.894
350,2,0.85,249.970,-24.727,0.949
250,2,0.15,61.600,-1.830,0.146
250,2,0.25,93.710,-4.083,0.267
250,2,0.45,162.290,-5.042,0.850
250,2,0.65,161.970,-15.831,1.003
250,2,0.85,251.431,-21.461,1.131
800,3,0.15,69.151,-0.369,0.660
800,3,0.25,106.441,-0.784,0.340
800,3,0.45,169.879,-1.657,0.753
800,3,0.65,230.446,-2.647,0.731
800,3,0.85,281.786,-3.560,0.707
600,3,0.15,71.807,-0.283,0.136
600,3,0.25,109.810,-0.675,0.273
600,3,0.45,182.030,-1.502,0.666
600,3,0.65,248.664,-2.378,0.718
600,3,0.85,312.254,-3.306,0.755
400,3,0.15,86.967,-0.256,0.290
400,3,0.25,132.550,-0.634,0.423
400,3,0.45,222.383,-1.485,0.900
400,3,0.65,311.553,-2.408,1.038
400,3,0.85,405.310,-3.398,1.288
350,3,0.15,84.433,-0.336,0.366
350,3,0.25,126.640,-0.750,0.437
350,3,0.45,206.757,-1.658,0.919
350,3,0.65,281.092,-2.626,1.115
350,3,0.85,358.383,-3.632,1.282
250,3,0.15,90.733,-0.268,0.431
250,3,0.25,145.521,-0.021,0.689
250,3,0.45,232.609,-0.517,0.899
250,3,0.65,313.991,-1.572,1.011
250,3,0.85,405.896,-27.001,1.161
900,0.5,0.1,17.987,1.299,0.105
900,0.5,0.2,27.664,0.675,0.144
900,0.5,0.4,36.970,0.190,0.570
900,0.5,0.6,46.869,-0.489,0.752
900,0.5,0.8,56.524,-2.175,0.791
700,0.5,0.1,11.151,1.566,0.120
700,0.5,0.2,17.829,1.098,0.171
700,0.5,0.4,31.518,0.804,0.574
700,0.5,0.6,44.444,0.425,0.745
700,0.5,0.8,56.431,-0.223,0.770
500,0.5,0.1,12.958,1.640,0.098
500,0.5,0.2,20.984,1.408,0.136
500,0.5,0.4,34.284,1.866,0.532
500,0.5,0.6,47.058,1.237,0.710
500,0.5,0.8,59.327,0.769,0.740
300,0.5,0.1,14.077,1.748,0.090
300,0.5,0.2,22.476,1.812,0.136
300,0.5,0.4,37.438,2.159,0.536
300,0.5,0.6,51.695,2.388,0.720
300,0.5,0.8,64.778,2.113,0.747
100,0.5,0.1,12.105,2.076,0.120
100,0.5,0.2,20.610,2.950,0.275
100,0.5,0.4,37.440,5.059,0.566
100,0.5,0.6,53.144,6.500,0.740
100,0.5,0.8,34.932,6.009,0.767
